@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36-weka.filters.unsupervised.attribute.Remove-R1-2,7-14-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,7,11,13,15,17-18,20'

@attribute legal_north {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g3_dis numeric
@attribute last_action {Stop,North,East,South,West}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute action {North,East,South,West}

@data
true,true,true,-1,North,6,2,false,false,North
false,true,true,-1,North,6,2,false,false,East
false,false,true,-1,East,6,2,false,false,East
false,true,true,-1,East,6,2,false,false,East
true,true,true,-1,East,6,2,false,false,East
false,true,true,-1,East,6,2,false,false,East
false,true,true,-1,East,6,2,false,false,East
true,true,true,-1,East,6,2,false,false,East
true,true,true,-1,East,6,2,false,false,East
true,true,true,-1,East,6,2,false,false,East
true,true,true,-1,East,6,2,false,false,North
true,true,true,-1,North,6,3,false,false,North
true,true,true,-1,North,6,4,false,false,North
true,true,false,-1,North,6,4,false,false,East
true,false,true,-1,East,6,4,false,false,East
true,true,true,-1,East,6,4,false,false,East
true,true,true,-1,East,6,4,false,false,East
true,true,true,-1,East,6,4,false,false,East
true,true,true,-1,East,6,5,false,false,South
true,true,true,-1,South,6,5,false,false,South
false,true,false,28,Stop,4,4,false,false,South
true,true,false,27,South,4,4,false,false,South
true,true,false,26,South,4,4,false,false,South
true,true,false,25,South,4,4,false,false,South
true,true,false,24,South,4,4,false,false,South
true,true,false,23,South,4,3,false,false,South
true,true,false,22,South,4,2,false,false,South
true,true,false,23,South,4,2,false,false,South
true,true,false,24,South,4,2,false,false,South
true,true,false,25,South,4,2,false,false,South
true,true,false,26,South,4,2,false,false,South
true,true,false,27,South,4,2,false,false,South
true,true,false,28,South,4,2,false,false,East
false,true,true,27,East,4,2,false,false,East
true,true,true,26,East,4,2,false,false,East
true,true,true,25,East,4,2,false,false,East
true,true,true,24,East,4,2,false,false,North
true,true,true,25,North,4,2,false,false,North
true,true,true,26,North,4,2,false,false,North
true,true,true,27,North,4,2,true,false,East
true,true,true,26,East,4,2,true,false,South
true,true,true,25,South,4,2,true,false,South
true,true,true,24,South,4,2,true,false,South
true,false,true,23,South,4,2,true,false,East
false,false,true,22,East,4,2,true,false,East
true,true,true,21,East,4,2,true,false,East
true,true,true,20,East,4,2,true,false,East
true,true,true,19,East,4,2,true,false,East
true,true,true,18,East,5,2,true,false,South
true,true,true,19,South,5,2,true,false,South
true,true,true,20,South,5,2,true,false,South
true,false,true,21,South,6,2,false,true,North
true,true,true,20,North,6,2,false,true,North
true,true,true,19,North,6,2,false,true,North
true,true,true,18,North,6,2,false,true,North
true,true,true,17,North,6,2,false,true,North
true,true,true,16,North,6,2,false,true,North
true,true,true,15,North,6,2,false,true,North
true,true,true,14,North,6,2,false,true,North
true,true,true,13,North,6,2,false,true,North
false,true,true,12,North,6,2,false,true,East
false,false,true,11,East,6,2,false,true,East
false,true,true,10,East,6,2,false,true,East
true,true,true,9,East,6,2,false,true,South
true,true,true,8,South,6,2,false,true,South
true,true,true,7,South,6,2,false,true,South
true,true,true,6,South,6,2,false,true,South
true,true,true,5,South,6,2,false,true,South
true,true,true,4,South,6,2,false,true,South
true,true,true,3,South,6,2,false,true,East
false,false,true,2,East,6,2,false,true,East
false,false,true,1,East,6,2,false,true,East
false,true,true,-1,East,6,2,false,false,West
false,false,true,-1,West,6,2,false,false,West
false,false,true,-1,West,6,2,false,false,West
true,true,true,-1,West,6,2,false,false,North
true,true,true,-1,North,6,2,false,false,North
true,true,true,-1,North,6,2,false,false,North
true,true,true,-1,North,6,2,false,false,North
true,true,true,-1,North,6,2,false,false,East
true,false,true,-1,East,6,2,false,false,East
true,false,true,-1,East,6,2,false,false,East
true,false,true,-1,East,6,2,false,false,East
true,false,true,-1,East,6,2,false,false,East
true,false,true,-1,East,6,2,false,false,East
true,false,true,-1,East,6,2,false,false,North
true,true,true,-1,North,6,2,false,false,North
true,true,true,-1,North,6,2,false,false,North
true,true,true,-1,North,6,3,false,false,North
