@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36'

@attribute pacx numeric
@attribute pacy numeric
@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g1_x numeric
@attribute g1_y numeric
@attribute g2_x numeric
@attribute g2_y numeric
@attribute g3_x numeric
@attribute g3_y numeric
@attribute g4_x numeric
@attribute g4_y numeric
@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute num_walls numeric
@attribute alive_ghosts numeric
@attribute last_action {Stop,North,East,South,West}
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g3_relPos {0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {0,1,2,3,4,5,6,7,8}
@attribute g1_closest {true,false}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute g4_closest {true,false}
@attribute action {North,East,South,West}

@data
2,6,false,true,true,true,1,3,2,3,5,1,7,1,4,3,-1,-1,0,2,West,6,5,4,4,false,true,false,false,South
2,5,true,true,true,true,1,3,2,3,5,1,7,1,3,2,-1,-1,0,2,South,6,5,4,4,false,true,false,false,South
2,4,true,true,true,true,1,3,2,3,5,1,7,1,2,1,-1,-1,0,2,South,6,5,4,4,false,true,false,false,South
2,3,true,true,false,true,1,3,3,1,5,1,7,1,1,-1,-1,-1,0,1,South,7,4,4,4,true,false,false,false,West
26,27,false,false,true,true,10,15,13,15,14,15,17,15,28,25,24,27,0,4,Stop,6,6,6,6,false,false,true,false,West
25,27,false,true,false,true,10,15,13,15,14,15,17,15,27,24,23,26,0,4,West,6,6,6,6,false,false,true,false,West
24,27,false,true,false,true,10,15,13,15,14,15,17,15,26,23,22,25,0,4,West,6,6,6,6,false,false,true,false,West
23,27,false,true,false,true,10,15,13,15,14,15,17,15,25,22,21,24,0,4,West,6,6,6,6,false,false,true,false,West
22,27,false,true,false,true,10,15,13,15,14,15,17,15,24,21,20,23,0,4,West,6,6,6,6,false,false,true,false,West
21,27,false,true,true,true,10,15,13,15,14,15,17,15,23,20,19,22,0,4,West,6,6,6,6,false,false,true,false,South
21,26,true,false,true,false,10,15,13,15,14,15,17,15,22,19,18,21,0,4,South,6,6,6,6,false,false,true,false,South
21,25,true,false,true,false,10,15,13,15,14,15,17,15,21,18,17,20,0,4,South,6,6,6,6,false,false,true,false,South
21,24,true,false,true,false,10,15,13,15,14,15,17,15,20,17,16,19,0,4,South,6,6,6,6,false,false,true,false,South
21,23,true,true,true,true,10,15,13,15,14,15,17,15,19,16,15,18,0,4,South,6,6,6,6,false,false,true,false,West
20,23,false,true,false,true,10,15,13,15,14,15,17,15,18,15,14,17,0,4,West,6,6,6,6,false,false,true,false,West
19,23,false,true,false,true,10,15,13,15,14,15,17,15,17,14,13,16,0,4,West,6,6,6,6,false,false,true,false,West
18,23,false,true,true,true,10,15,13,15,14,15,17,15,16,13,12,15,0,4,West,6,6,6,6,false,false,true,false,South
18,22,true,false,true,false,10,15,13,15,14,15,17,15,15,12,11,14,0,4,South,6,6,6,6,false,false,true,false,South
18,21,true,false,true,false,10,15,13,15,14,15,17,15,14,11,10,13,0,4,South,6,6,6,6,false,false,true,false,South
18,20,true,false,false,true,10,15,13,15,14,15,17,15,13,10,9,12,0,4,South,6,6,6,6,false,false,true,false,West
