@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36-weka.filters.unsupervised.attribute.Remove-R1-2,7-14-weka.filters.unsupervised.attribute.Remove-V-R1-4,11-13,16,19-20'

@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute last_action {Stop,North,East,South,West}
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g1_closest {true,false}
@attribute g4_closest {true,false}
@attribute action {North,East,South,West}

@data
true,true,true,false,North,7,7,false,false,North
true,false,true,false,North,6,6,false,false,North
false,false,true,true,North,6,6,false,false,West
false,true,false,true,West,6,6,false,false,West
false,true,false,true,West,6,6,false,false,West
false,true,false,true,West,6,6,false,false,West
true,true,false,true,West,6,6,false,false,West
false,true,true,true,West,6,6,false,false,South
true,false,true,true,South,6,6,false,false,South
true,true,false,true,South,7,7,false,false,West
true,true,false,true,West,7,6,true,false,West
false,true,false,true,West,7,6,true,false,West
false,true,false,true,West,7,6,true,false,West
false,true,false,false,West,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
true,true,false,true,East,6,6,false,true,East
true,true,false,true,East,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
false,true,false,true,Stop,6,8,false,false,East
false,true,true,true,East,6,8,false,false,East
false,true,true,true,East,6,8,false,false,South
true,true,true,true,South,6,8,false,false,South
true,true,true,true,South,6,8,false,false,South
true,true,true,false,South,6,8,false,false,South
true,true,true,true,South,7,8,false,false,West
false,true,true,true,West,7,8,true,false,West
false,true,true,true,West,7,8,true,false,West
false,true,true,true,West,7,8,true,false,West
false,true,true,false,West,7,8,true,false,South
true,true,true,false,South,8,8,true,false,South
true,true,true,false,South,8,8,true,false,South
true,true,false,true,South,8,8,true,false,West
false,true,false,true,West,8,8,true,false,West
true,true,false,true,West,8,8,true,false,West
true,true,false,true,West,8,8,true,false,West
true,true,false,true,West,8,8,true,false,West
true,true,false,true,West,8,8,true,false,North
true,true,true,true,North,8,8,true,false,North
true,true,true,true,North,8,8,true,false,North
false,true,true,true,North,6,8,false,false,West
true,true,true,true,West,6,2,false,false,West
true,true,true,true,West,6,2,false,false,North
true,true,true,true,North,6,2,false,false,North
true,true,true,true,North,6,2,false,false,North
true,true,true,true,North,6,2,false,false,North
true,true,true,true,North,6,2,false,false,North
true,false,true,true,North,6,2,false,false,North
true,false,true,true,North,6,3,false,false,North
true,false,true,true,North,6,4,false,false,North
false,true,true,true,North,6,4,false,false,East
false,true,false,true,East,6,4,false,false,East
false,true,false,true,East,6,5,false,false,East
false,true,false,true,East,6,6,false,false,East
false,true,false,true,East,6,6,false,false,East
false,true,true,true,East,6,6,false,false,South
true,true,true,false,South,6,6,false,false,South
true,true,false,true,South,6,7,false,false,West
false,true,false,true,West,6,7,false,false,West
false,true,false,true,West,6,7,false,false,West
false,true,false,false,West,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
true,true,false,true,East,6,6,false,true,East
true,true,false,true,East,6,6,false,true,East
true,true,false,true,East,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
true,true,true,true,Stop,6,8,false,true,East
true,true,true,true,East,6,8,false,true,North
true,true,true,true,North,6,8,false,true,North
true,true,true,true,North,6,7,false,false,South
true,true,true,true,South,6,8,false,false,South
true,true,true,true,South,6,8,false,false,South
true,true,true,true,South,6,8,false,false,South
true,true,true,true,South,6,8,false,false,South
true,true,true,true,South,6,8,false,false,South
true,true,true,true,South,7,8,true,false,West
true,true,true,true,West,7,8,true,false,West
true,true,true,true,West,7,8,true,false,West
true,true,true,true,West,7,8,true,false,West
true,true,true,true,West,7,8,true,false,West
true,true,true,true,West,7,8,true,false,West
true,true,true,true,West,7,8,true,false,West
true,true,true,true,West,7,8,true,false,West
true,true,true,true,West,6,8,false,false,East
true,true,true,true,East,6,8,false,false,North
true,true,true,true,North,6,8,false,false,North
true,true,true,true,North,6,8,false,false,North
true,true,true,true,North,6,8,false,false,North
true,true,true,false,North,6,8,false,false,North
true,true,true,true,North,6,8,false,false,West
true,true,false,true,West,6,8,false,false,North
false,true,true,false,Stop,4,4,false,false,East
false,true,false,true,East,4,4,false,false,East
false,true,false,true,East,4,4,false,false,East
false,true,false,true,East,4,4,false,false,East
false,true,true,true,East,4,4,false,false,East
false,true,true,true,East,5,5,false,false,South
true,false,true,true,South,5,5,false,false,South
true,true,true,true,South,5,6,false,false,North
true,false,true,true,North,5,6,false,false,North
false,true,true,true,North,5,6,false,false,East
false,true,false,true,East,6,6,false,false,East
false,true,false,true,East,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
false,true,true,true,East,6,6,false,true,East
false,true,true,true,East,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
false,true,false,true,East,6,6,false,true,East
false,true,true,true,East,6,6,false,true,South
true,false,true,false,South,6,6,false,true,South
true,true,true,true,South,6,6,false,true,South
true,true,true,true,South,6,6,false,true,South
true,true,true,true,South,6,6,false,true,South
true,false,true,false,South,6,6,true,false,South
true,true,true,true,South,7,6,true,false,West
false,true,true,true,West,7,6,true,false,West
false,true,false,true,West,7,6,true,false,West
false,true,true,true,West,7,6,true,false,West
true,true,true,true,West,7,6,true,false,West
true,true,true,true,West,7,6,true,false,West
true,true,true,true,West,7,6,true,false,West
false,true,true,true,West,7,6,true,false,West
false,true,true,false,Stop,4,3,true,false,South
true,false,true,false,South,4,2,true,false,South
true,true,true,false,South,3,2,true,false,East
false,true,true,true,East,3,2,true,false,East
false,true,true,true,East,3,2,true,false,East
false,true,true,true,East,3,2,true,false,East
false,true,true,true,East,3,2,true,false,East
false,true,true,true,East,6,2,false,false,East
true,true,true,true,East,6,2,false,false,North
true,false,true,false,North,6,2,false,false,North
false,true,true,true,North,6,3,false,false,East
false,true,false,true,East,6,6,false,false,West
false,true,true,true,West,6,6,false,false,South
true,false,true,false,South,6,6,false,false,South
true,true,true,true,South,6,6,false,false,East
false,true,true,true,East,6,6,false,false,East
false,true,true,true,East,6,6,false,false,East
false,true,true,true,East,6,6,false,false,East
false,true,true,true,East,6,6,false,false,South
true,true,false,true,South,6,6,false,true,East
true,true,false,true,East,6,6,false,true,East
true,true,false,true,East,6,6,false,true,East
true,true,false,true,East,6,6,false,true,East
true,true,false,true,East,6,6,false,true,East
true,true,false,true,East,6,6,false,true,North
true,true,true,true,North,6,6,false,true,North
true,false,true,false,North,6,6,false,true,North
true,true,false,false,Stop,8,2,false,false,East
true,true,false,true,East,8,8,false,false,North
true,true,true,true,North,8,8,false,false,North
true,true,true,true,North,8,8,false,false,North
true,true,true,true,North,8,8,false,false,North
true,true,true,true,North,8,8,false,false,North
true,true,true,true,North,8,4,false,false,North
true,true,true,true,North,8,4,true,false,West
true,true,true,false,West,8,4,true,false,North
false,true,true,false,North,5,4,false,true,East
false,true,true,true,East,6,4,false,true,East
false,true,true,true,East,6,5,false,true,South
true,true,true,true,South,6,5,false,true,South
true,true,true,true,South,6,5,false,true,South
