@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36-weka.filters.unsupervised.attribute.Remove-R1-2,7-14'

@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute num_walls numeric
@attribute alive_ghosts numeric
@attribute last_action {Stop,North,East,South,West}
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g3_relPos {0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {0,1,2,3,4,5,6,7,8}
@attribute g1_closest {true,false}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute g4_closest {true,false}
@attribute action {North,East,South,West}

@data
true,false,true,false,8,5,4,7,0,4,South,6,6,6,4,false,false,true,false,South
true,true,false,true,7,4,3,6,0,4,South,6,6,6,4,false,false,true,false,West
false,true,true,true,6,3,2,5,0,4,West,6,6,5,4,false,false,true,false,South
true,false,true,true,5,2,1,4,0,4,South,6,6,5,4,false,false,true,false,South
true,true,false,true,4,1,-1,3,0,3,South,7,7,6,3,false,true,false,false,West
true,true,false,true,3,-1,-1,4,0,2,West,7,6,6,3,true,false,false,false,West
false,true,false,true,2,-1,-1,5,0,2,West,7,6,6,3,true,false,false,false,West
false,true,false,true,1,-1,-1,6,0,2,West,7,6,6,3,true,false,false,false,West
false,true,false,false,-1,-1,-1,7,0,1,West,6,6,6,3,false,false,false,true,East
false,true,false,true,-1,-1,-1,6,0,1,East,6,6,6,3,false,false,false,true,East
false,true,false,true,-1,-1,-1,5,0,1,East,6,6,6,3,false,false,false,true,East
true,true,false,true,-1,-1,-1,4,0,1,East,6,6,6,3,false,false,false,true,East
true,true,false,true,-1,-1,-1,3,0,1,East,6,6,6,3,false,false,false,true,East
false,true,false,true,-1,-1,-1,2,0,1,East,6,6,6,3,false,false,false,true,East
false,true,false,true,-1,-1,-1,1,0,1,East,6,6,6,3,false,false,false,true,East
true,false,false,true,38,32,11,24,0,4,Stop,8,7,8,8,false,false,true,false,West
true,true,false,true,37,31,10,23,0,4,West,8,7,8,2,false,false,true,false,West
true,true,false,true,36,30,9,22,0,4,West,8,7,8,2,false,false,true,false,West
true,true,false,true,35,29,8,23,0,4,West,8,7,8,2,false,false,true,false,West
true,true,false,true,34,28,7,24,0,4,West,8,7,8,2,false,false,true,false,West
true,true,false,true,33,27,6,25,0,4,West,8,7,8,2,false,false,true,false,West
true,true,false,true,32,26,5,26,0,4,West,8,7,8,2,false,false,true,false,West
true,true,false,true,31,25,4,27,0,4,West,8,7,8,2,false,false,true,false,West
true,true,false,true,30,24,3,28,0,4,West,8,7,8,2,false,false,true,false,North
true,true,true,true,29,23,2,27,0,4,North,8,6,8,2,false,false,true,false,North
true,true,true,false,28,22,1,26,0,4,North,8,6,8,2,false,false,true,false,North
false,true,true,true,27,21,-1,25,0,3,North,8,6,6,2,false,true,false,false,West
false,true,false,true,26,20,-1,24,0,3,West,8,6,6,2,false,true,false,false,West
false,true,false,true,25,19,-1,23,0,3,West,8,6,6,2,false,true,false,false,West
true,true,true,true,24,18,-1,22,0,3,West,8,6,6,2,false,true,false,false,West
true,true,true,false,23,17,-1,23,0,3,West,8,6,6,2,false,true,false,false,North
true,true,true,false,22,16,-1,22,0,3,North,8,6,6,2,false,true,false,false,North
true,true,true,false,21,15,-1,21,0,3,North,8,6,6,2,false,true,false,false,North
true,true,true,false,20,14,-1,20,0,3,North,7,6,6,2,false,true,false,false,North
true,true,true,false,19,13,-1,19,0,3,North,6,6,6,2,false,true,false,false,North
true,true,true,false,18,12,-1,18,0,3,North,6,6,6,2,false,true,false,false,North
false,true,true,true,17,11,-1,17,0,3,North,6,6,6,2,false,true,false,false,West
false,true,false,true,16,10,-1,18,0,3,West,6,6,6,2,false,true,false,false,West
false,true,true,true,15,9,-1,19,0,3,West,6,5,6,2,false,true,false,false,South
true,false,true,true,14,8,-1,20,0,3,South,6,5,6,2,false,true,false,false,South
true,false,true,true,13,7,-1,21,0,3,South,6,5,6,2,false,true,false,false,South
true,false,true,true,12,6,-1,22,0,3,South,7,5,6,2,false,true,false,false,South
true,false,true,true,11,5,-1,23,0,3,South,8,5,6,2,false,true,false,false,South
true,false,true,true,10,4,-1,24,0,3,South,8,5,6,2,false,true,false,false,South
true,false,true,true,9,3,-1,25,0,3,South,8,5,6,2,false,true,false,false,South
true,false,true,true,10,2,-1,26,0,3,South,8,5,6,2,false,true,false,false,South
true,false,true,true,11,1,-1,27,0,3,South,8,5,6,2,false,true,false,false,South
true,false,false,true,12,-1,-1,28,0,2,South,8,6,6,2,true,false,false,false,West
true,true,false,true,11,-1,-1,29,0,2,West,8,6,6,2,true,false,false,false,West
true,true,false,true,10,-1,-1,30,0,2,West,8,6,6,2,true,false,false,false,West
true,true,false,true,9,-1,-1,31,0,2,West,8,6,6,2,true,false,false,false,West
false,true,false,true,8,-1,-1,32,0,2,West,8,6,6,2,true,false,false,false,West
false,true,false,true,7,-1,-1,33,0,2,West,8,6,6,2,true,false,false,false,West
true,true,false,true,6,-1,-1,34,0,2,West,8,6,5,2,true,false,false,false,North
true,false,true,true,5,-1,-1,33,0,2,North,8,6,5,2,true,false,false,false,North
true,false,true,true,4,-1,-1,32,0,2,North,8,6,5,2,true,false,false,false,North
true,true,true,true,3,-1,-1,31,0,2,North,8,6,5,2,true,false,false,false,North
true,true,true,true,2,-1,-1,32,0,2,North,8,6,5,2,true,false,false,false,North
true,true,true,true,1,-1,-1,33,0,2,North,8,6,5,2,true,false,false,false,North
true,true,true,true,-1,-1,-1,34,0,1,North,6,6,5,2,false,false,false,true,East
true,false,true,true,-1,-1,-1,33,0,1,East,6,6,6,2,false,false,false,true,South
true,false,true,true,-1,-1,-1,32,0,1,South,6,6,6,2,false,false,false,true,South
true,false,true,true,-1,-1,-1,31,0,1,South,6,6,6,2,false,false,false,true,South
true,true,false,true,-1,-1,-1,30,0,1,South,6,6,6,2,false,false,false,true,East
false,true,false,true,-1,-1,-1,29,0,1,East,6,6,6,2,false,false,false,true,East
true,true,true,true,-1,-1,-1,28,0,1,East,6,6,6,2,false,false,false,true,East
true,true,true,true,-1,-1,-1,27,0,1,East,6,6,6,2,false,false,false,true,East
true,true,true,true,-1,-1,-1,26,0,1,East,6,6,6,2,false,false,false,true,East
true,false,true,true,-1,-1,-1,25,0,1,East,6,6,6,2,false,false,false,true,North
true,false,true,true,-1,-1,-1,24,0,1,North,6,6,6,2,false,false,false,true,North
true,false,true,true,-1,-1,-1,23,0,1,North,6,6,6,2,false,false,false,true,North
true,false,true,true,-1,-1,-1,22,0,1,North,6,6,6,2,false,false,false,true,North
true,false,true,true,-1,-1,-1,21,0,1,North,6,6,6,2,false,false,false,true,North
true,false,true,true,-1,-1,-1,20,0,1,North,6,6,6,2,false,false,false,true,North
false,true,true,true,-1,-1,-1,19,0,1,North,6,6,6,2,false,false,false,true,East
false,true,false,true,-1,-1,-1,18,0,1,East,6,6,6,2,false,false,false,true,East
false,true,true,true,-1,-1,-1,17,0,1,East,6,6,6,2,false,false,false,true,East
true,true,true,true,-1,-1,-1,16,0,1,East,6,6,6,2,false,false,false,true,East
false,true,true,true,-1,-1,-1,15,0,1,East,6,6,6,2,false,false,false,true,East
false,true,true,true,-1,-1,-1,14,0,1,East,6,6,6,2,false,false,false,true,East
