@relation pacman-weka.filters.unsupervised.attribute.Remove-R25-36

@attribute pacx numeric
@attribute pacy numeric
@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g1_x numeric
@attribute g1_y numeric
@attribute g2_x numeric
@attribute g2_y numeric
@attribute g3_x numeric
@attribute g3_y numeric
@attribute g4_x numeric
@attribute g4_y numeric
@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute num_walls numeric
@attribute alive_ghosts numeric
@attribute score numeric
@attribute future_score numeric
@attribute future_alive_ghosts numeric
@attribute last_action {Stop,North,East,South,West}
@attribute action {North,East,South,West}

@data
21,26,true,false,true,false,10,15,13,15,14,15,17,15,22,19,18,21,0,4,-6,-7,4,South,South
21,25,true,false,true,false,10,15,13,15,14,15,17,15,21,18,17,20,0,4,-7,-8,4,South,South
21,24,true,false,true,false,10,15,13,15,14,15,17,15,20,17,16,19,0,4,-8,-9,4,South,South
21,23,true,true,true,true,10,15,13,15,14,15,17,15,19,16,15,18,0,4,-9,-10,4,South,West
20,23,false,true,false,true,10,15,13,15,14,15,17,15,18,15,14,17,0,4,-10,-11,4,West,West
19,23,false,true,false,true,10,15,13,15,14,15,17,15,17,14,13,16,0,4,-11,-12,4,West,West
18,23,false,true,true,true,10,15,13,15,14,15,17,15,16,13,12,15,0,4,-12,-13,4,West,South
18,22,true,false,true,false,10,15,13,15,14,15,17,15,15,12,11,14,0,4,-13,-14,4,South,South
18,21,true,false,true,false,10,15,13,15,14,15,17,15,14,11,10,13,0,4,-14,-15,4,South,South
18,20,true,false,false,true,10,15,13,15,14,15,17,15,13,10,9,12,0,4,-15,-16,4,South,West
17,20,false,true,false,true,10,15,13,15,14,15,17,15,12,9,8,11,0,4,-16,-17,4,West,West
16,20,false,true,false,true,10,15,13,15,14,15,17,15,11,8,7,10,0,4,-17,-18,4,West,West
15,20,false,true,true,false,10,15,13,15,14,15,17,15,10,7,6,9,0,4,-18,-19,4,West,South
15,19,true,false,true,false,10,15,13,15,14,15,17,15,9,6,5,8,0,4,-19,-20,4,South,South
15,18,true,false,true,false,10,15,13,15,14,15,17,15,8,5,4,7,0,4,-20,-21,4,South,South
15,17,true,true,false,true,10,15,13,15,14,15,17,15,7,4,3,6,0,4,-21,-22,4,South,West
14,17,false,true,true,true,10,15,13,15,14,15,17,15,6,3,2,5,0,4,-22,-23,4,West,South
14,16,true,false,true,true,10,15,13,15,14,15,17,15,5,2,1,4,0,4,-23,76,3,South,South
14,15,true,true,false,true,10,15,13,15,5,1,17,15,4,1,-1,3,0,3,176,275,2,South,West
13,15,true,true,false,true,10,15,3,1,5,1,17,15,3,-1,-1,4,0,2,375,374,2,West,West
12,15,false,true,false,true,10,15,3,1,5,1,17,15,2,-1,-1,5,0,2,374,373,2,West,West
11,15,false,true,false,true,10,15,3,1,5,1,17,15,1,-1,-1,6,0,2,373,472,1,West,West
10,15,false,true,false,false,1,1,3,1,5,1,17,15,-1,-1,-1,7,0,1,572,571,1,West,East
11,15,false,true,false,true,1,1,3,1,5,1,17,15,-1,-1,-1,6,0,1,571,570,1,East,East
12,15,false,true,false,true,1,1,3,1,5,1,17,15,-1,-1,-1,5,0,1,570,569,1,East,East
13,15,true,true,false,true,1,1,3,1,5,1,17,15,-1,-1,-1,4,0,1,569,568,1,East,East
14,15,true,true,false,true,1,1,3,1,5,1,17,15,-1,-1,-1,3,0,1,568,567,1,East,East
15,15,false,true,false,true,1,1,3,1,5,1,17,15,-1,-1,-1,2,0,1,567,566,1,East,East
16,15,false,true,false,true,1,1,3,1,5,1,17,15,-1,-1,-1,1,0,1,566,665,0,East,East
25,3,true,false,false,true,5,9,11,3,17,6,25,13,38,32,11,24,0,4,0,-1,4,Stop,West
24,3,true,true,false,true,5,9,11,3,17,6,25,13,37,31,10,23,0,4,-1,-2,4,West,West
23,3,true,true,false,true,5,9,11,3,17,6,25,13,36,30,9,22,0,4,-2,-3,4,West,West
22,3,true,true,false,true,5,9,11,3,17,6,25,13,35,29,8,23,0,4,-3,-4,4,West,West
21,3,true,true,false,true,5,9,11,3,17,6,25,13,34,28,7,24,0,4,-4,-5,4,West,West
20,3,true,true,false,true,5,9,11,3,17,6,25,13,33,27,6,25,0,4,-5,-6,4,West,West
19,3,true,true,false,true,5,9,11,3,17,6,25,13,32,26,5,26,0,4,-6,-7,4,West,West
18,3,true,true,false,true,5,9,11,3,17,6,25,13,31,25,4,27,0,4,-7,-8,4,West,West
17,3,true,true,false,true,5,9,11,3,17,6,25,13,30,24,3,28,0,4,-8,-9,4,West,North
